year;access_date_week;IGR;access_count;year_access;count_physician;rate_access_per_physician
2021;2021-03;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-03;Caratinga;0;2021;716;0.0
2021;2021-03;Carazinho;0;2021;48;0.0
2021;2021-03;Cascavel;0;2021;36;0.0
2021;2021-03;Catalão;0;2021;250;0.0
2021;2021-03;Catanduva;0;2021;13;0.0
2021;2021-03;Caxias do Sul;1;2021;3731;2.6802465826856072
2021;2021-03;Conceição do Coité;0;2021;33;0.0
2021;2021-03;Cruz Alta;0;2021;226;0.0
2021;2021-03;Curitiba;15;2021;16261;9.224524936965746
2021;2021-03;Curitibanos;0;2021;10;0.0
2021;2021-03;Distrito Federal;17;2021;11128;15.276779295470885
2021;2021-03;Eunápolis - Porto Seguro;0;2021;17;0.0
2021;2021-03;Frederico Westphalen;0;2021;238;0.0
2021;2021-03;Goiana ¿ Timbaúba;0;2021;730;0.0
2021;2021-03;Guarabira;0;2021;22;0.0
2021;2021-03;Guarapuava;0;2021;11;0.0
2021;2021-03;Gurupi;0;2021;32;0.0
2021;2021-03;Ijuí;0;2021;472;0.0
2021;2021-03;Imperatriz;0;2021;10;0.0
2021;2021-03;Itacoatiara;0;2021;14;0.0
2021;2021-03;Jaú;0;2021;172;0.0
2021;2021-03;Ji-Paraná;0;2021;16;0.0
2021;2021-03;Joaçaba - Herval d'Oeste;0;2021;659;0.0
2021;2021-03;Joinville;0;2021;33;0.0
2021;2021-03;Juiz de Fora;7;2021;2594;26.985350809560522
2021;2021-03;Linhares;0;2021;733;0.0
2021;2021-03;Maceió;0;2021;46;0.0
2021;2021-03;Manaus;19;2021;3961;47.96768492804847
2021;2021-03;Mantena;0;2021;118;0.0
2021;2021-03;Maringá;0;2021;2708;0.0
2021;2021-03;Marília;0;2021;1054;0.0
2021;2021-03;Monteiro;0;2021;5;0.0
2021;2021-03;Mossoró;0;2021;35;0.0
2021;2021-03;Natal;0;2021;34;0.0
2021;2021-03;Nazaré ¿ Maragogipe;0;2021;23;0.0
2021;2021-03;Nova Prata - Guaporé;0;2021;387;0.0
2021;2021-03;Oliveira;0;2021;431;0.0
2021;2021-03;Passo Fundo;0;2021;1722;0.0
2021;2021-03;Passos;0;2021;455;0.0
2021;2021-03;Patos;0;2021;27;0.0
2021;2021-03;Pinheiro;0;2021;189;0.0
2021;2021-03;Pirapora;0;2021;153;0.0
2021;2021-03;Piumhi;0;2021;36;0.0
2021;2021-03;Ponte Nova;0;2021;12;0.0
2021;2021-03;Porto Alegre;5;2021;15348;3.2577534532186605
2021;2021-03;Princesa Isabel;0;2021;12;0.0
2021;2021-03;Quirinópolis;0;2021;65;0.0
2021;2021-03;Resende;0;2021;509;0.0
2021;2021-03;Ribeirão Preto;0;2021;6135;0.0
2021;2021-03;Rio Claro;0;2021;189;0.0
2021;2021-03;Rio de Janeiro;23;2021;40419;5.690393131942899
2021;2021-03;Russas - Limoeiro do Norte;0;2021;1039;0.0
2021;2021-03;Salvador;16;2021;12015;13.316687473990845
2021;2021-03;Santa Cruz do Sul;0;2021;1042;0.0
2021;2021-03;Santa Inês;0;2021;44;0.0
2021;2021-03;Santa Maria;0;2021;1110;0.0
2021;2021-03;Santa Maria da Vitoria;0;2021;13;0.0
2021;2021-03;Santana do Livramento;0;2021;89;0.0
2021;2021-03;Santos;2;2021;1071;18.674136321195146
2021;2021-03;Serra Talhada;0;2021;94;0.0
2021;2021-03;Soledade;0;2021;129;0.0
2021;2021-03;São Miguel do Oeste;0;2021;262;0.0
2021;2021-03;São Paulo;74;2021;73318;10.093019449521263
2021;2021-03;Teófilo Otoni;0;2021;555;0.0
2021;2021-03;Toledo;0;2021;42;0.0
2021;2021-03;Uberaba;0;2021;1886;0.0
2021;2021-03;Uberlândia;2;2021;3083;6.487187804086928
2021;2021-03;Uruguaiana;0;2021;222;0.0
2021;2021-03;Valença;0;2021;19;0.0
2021;2021-03;Vitória;0;2021;54;0.0
2021;2021-03;Vitória da Conquista;0;2021;14;0.0
2021;2021-03;Volta Redonda - Barra Mansa;0;2021;2694;0.0
2021;2021-04;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;2;2021;431;46.403712296983755
2021;2021-04;Alegre;0;2021;309;0.0
2021;2021-04;Araranguá;0;2021;502;0.0
2021;2021-04;Atalaia;0;2021;29;0.0
2021;2021-04;Bagé;0;2021;158;0.0
2021;2021-04;Belo Horizonte;15;2021;32062;4.678435531158381
2021;2021-04;Belém;5;2021;7079;7.063144511936714
2021;2021-04;Bento Gonçalves;0;2021;545;0.0
2021;2021-04;Boa Vista;0;2021;89;0.0
2021;2021-04;Bragança Paulista;0;2021;24;0.0
2021;2021-04;Brumado;0;2021;246;0.0
2021;2021-04;Camacan;0;2021;2;0.0
2021;2021-04;Campina Grande;0;2021;2373;0.0
2021;2021-04;Campo Belo;0;2021;35;0.0
2021;2021-04;Campos dos Goytacazes;0;2021;1009;0.0
2021;2021-04;Caratinga;1;2021;716;13.966480446927374
2021;2021-04;Carazinho;0;2021;48;0.0
2021;2021-04;Cascavel;0;2021;36;0.0
2021;2021-04;Catalão;0;2021;250;0.0
2021;2021-04;Catanduva;0;2021;13;0.0
2021;2021-04;Caxias do Sul;0;2021;3731;0.0
2021;2021-04;Conceição do Coité;0;2021;33;0.0
2021;2021-04;Cruz Alta;0;2021;226;0.0
2021;2021-04;Curitiba;11;2021;16261;6.764651620441547
2021;2021-04;Curitibanos;0;2021;10;0.0
2021;2021-04;Distrito Federal;14;2021;11128;12.580877066858376
2021;2021-04;Eunápolis - Porto Seguro;0;2021;17;0.0
2021;2021-04;Frederico Westphalen;0;2021;238;0.0
2021;2021-04;Goiana ¿ Timbaúba;1;2021;730;13.698630136986301
2021;2021-04;Guarabira;0;2021;22;0.0
2021;2021-04;Guarapuava;0;2021;11;0.0
2021;2021-04;Gurupi;0;2021;32;0.0
2021;2021-04;Ijuí;0;2021;472;0.0
2021;2021-04;Imperatriz;0;2021;10;0.0
2021;2021-04;Itacoatiara;0;2021;14;0.0
2021;2021-04;Jaú;0;2021;172;0.0
2021;2021-04;Ji-Paraná;0;2021;16;0.0
2021;2021-04;Joaçaba - Herval d'Oeste;0;2021;659;0.0
2021;2021-04;Joinville;0;2021;33;0.0
2021;2021-04;Juiz de Fora;0;2021;2594;0.0
2021;2021-04;Linhares;0;2021;733;0.0
2021;2021-04;Maceió;0;2021;46;0.0
2021;2021-04;Manaus;22;2021;3961;55.5415299166877
2021;2021-04;Mantena;0;2021;118;0.0
2021;2021-04;Maringá;2;2021;2708;7.385524372230429
2021;2021-04;Marília;2;2021;1054;18.975332068311197
2021;2021-04;Monteiro;0;2021;5;0.0
2021;2021-04;Mossoró;0;2021;35;0.0
2021;2021-04;Natal;0;2021;34;0.0
2021;2021-04;Nazaré ¿ Maragogipe;0;2021;23;0.0
2021;2021-04;Nova Prata - Guaporé;0;2021;387;0.0
2021;2021-04;Oliveira;0;2021;431;0.0
2021;2021-04;Passo Fundo;0;2021;1722;0.0
2021;2021-04;Passos;0;2021;455;0.0
2021;2021-04;Patos;0;2021;27;0.0
2021;2021-04;Pinheiro;0;2021;189;0.0
2021;2021-04;Pirapora;1;2021;153;65.359477124183
2021;2021-04;Piumhi;0;2021;36;0.0
2021;2021-04;Ponte Nova;0;2021;12;0.0
2021;2021-04;Porto Alegre;4;2021;15348;2.6062027625749282
2021;2021-04;Princesa Isabel;0;2021;12;0.0
2021;2021-04;Quirinópolis;0;2021;65;0.0
2021;2021-04;Resende;0;2021;509;0.0
2021;2021-04;Ribeirão Preto;0;2021;6135;0.0
2021;2021-04;Rio Claro;0;2021;189;0.0
2021;2021-04;Rio de Janeiro;31;2021;40419;7.6696603082708625
2021;2021-04;Russas - Limoeiro do Norte;0;2021;1039;0.0
2021;2021-04;Salvador;7;2021;12015;5.826050769870995
2021;2021-04;Santa Cruz do Sul;0;2021;1042;0.0
2021;2021-04;Santa Inês;0;2021;44;0.0
2021;2021-04;Santa Maria;0;2021;1110;0.0
2021;2021-04;Santa Maria da Vitoria;0;2021;13;0.0
2021;2021-04;Santana do Livramento;0;2021;89;0.0
2021;2021-04;Santos;0;2021;1071;0.0
2021;2021-04;Serra Talhada;0;2021;94;0.0
2021;2021-04;Soledade;0;2021;129;0.0
2021;2021-04;São Miguel do Oeste;0;2021;262;0.0
2021;2021-04;São Paulo;82;2021;73318;11.184156687307347
2021;2021-04;Teófilo Otoni;0;2021;555;0.0
2021;2021-04;Toledo;0;2021;42;0.0
2021;2021-04;Uberaba;1;2021;1886;5.302226935312832
2021;2021-04;Uberlândia;0;2021;3083;0.0
2021;2021-04;Uruguaiana;0;2021;222;0.0
2021;2021-04;Valença;0;2021;19;0.0
2021;2021-04;Vitória;0;2021;54;0.0
2021;2021-04;Vitória da Conquista;0;2021;14;0.0
2021;2021-04;Volta Redonda - Barra Mansa;0;2021;2694;0.0
2021;2021-05;Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá;0;2021;431;0.0
2021;2021-05;Alegre;0;2021;309;0.0
2021;2021-05;Araranguá;0;2021;502;0.0
2021;2021-05;Atalaia;0;2021;29;0.0
2021;2021-05;Bagé;0;2021;158;0.0
2021;2021-05;Belo Horizonte;10;2021;32062;3.1189570207722537
2021;2021-05;Belém;2;2021;7079;2.8252578047746857
2021;2021-05;Bento Gonçalves;0;2021;545;0.0
2021;2021-05;Boa Vista;0;2021;89;0.0
2021;2021-05;Bragança Paulista;0;2021;24;0.0
