access_state,access_city,year_access,count_physician
ES,ARACRUZ,2024,240
RS,GUAIBA,2024,260
PR,ALMIRANTE TAMANDARE,2021,125
SP,PITANGUEIRAS,2023,55
PB,ITATUBA,2023,8
BA,MALHADA DE PEDRAS,2023,9
MG,NOVO ORIENTE DE MINAS,2023,14
PB,TENORIO,2021,25
SP,GARCA,2024,22
PR,INDIANOPOLIS,2021,11
PB,MASSARANDUBA,2022,19
MG,BONFIM,2021,6
RJ,RIO DE JANEIRO,2023,25837
MG,CONTAGEM,2023,1756
PR,NOVA ESPERANCA,2024,47
SP,COTIA,2021,1194
RJ,MANGARATIBA,2024,69
MG,CRUCILANDIA,2023,93
RS,PASSO DO SOBRADO,2021,11
PR,MUNHOZ DE MELO,2022,20
PR,CAMPO DO TENENTE,2024,23
ES,JOAO NEIVA,2022,63
MG,SANTA JULIANA,2024,2
MG,CAPETINGA,2023,21
SP,SANTA ISABEL,2021,43
RS,AMETISTA DO SUL,2022,21
MG,CLARAVAL,2022,4
PA,BELEM,2021,4568
MG,BRUMADINHO,2022,213
MG,CONTAGEM,2022,2783
SP,SANTA ROSA DE VITERBO,2022,42
PE,ITAMBE,2022,41
PR,MARIALVA,2021,71
RS,CACEQUI,2023,11
RS,RIO PARDO,2023,23
MG,RIO ACIMA,2022,37
MG,PIRAPORA,2023,125
SC,CATANDUVAS,2023,29
MG,CARLOS CHAGAS,2024,6
SC,SAO JOAO DO OESTE,2024,14
SP,SANTA ROSA DE VITERBO,2021,30
MG,NOVA BELEM,2022,6
MG,CRUCILANDIA,2021,80
AM,CAREIRO DA VARZEA,2022,35
SC,SAO JOSE DO CEDRO,2021,17
MG,ARAGUARI,2021,358
RS,COTIPORA,2023,32
MG,OLIVEIRA,2023,147
SP,GUATAPARA,2023,6
RS,JULIO DE CASTILHOS,2023,60
PB,OLIVEDOS,2023,6
CE,IRACEMA,2023,4
RS,SAO MARCOS,2021,25
PB,SOLEDADE,2023,56
SP,GUAIMBE,2024,5
RJ,BELFORD ROXO,2022,1268
MG,SAO JOSE DA LAPA,2024,70
RJ,BARRA MANSA,2023,376
RS,CANELA,2023,215
RS,NOVA ROMA DO SUL,2022,27
RS,CATUIPE,2023,37
MG,PRATAPOLIS,2021,12
