date_week,igr,access_count,count_physician,rate_access_per_physician,count_hospitalization,precipitation_weekly_sum,rain_days,sequential_rain,temp_max_weekly_mean,temp_mean_weekly_mean,temp_min_weekly_mean,humidity_weekly_mean,lag_1_precipitation,lag_2_precipitation,lag_3_precipitation,lag_4_precipitation,lag_1_temp_mean,lag_2_temp_mean,lag_3_temp_mean,lag_4_temp_mean,lag_1_humidity,lag_2_humidity,lag_3_humidity,lag_4_humidity,change_temperature,percentile_temp_mean_weekly_mean,percentile_lag_temp_mean_weekly_mean,change_temperature_above75,change_precipitation,percentile_precipitation_weekly_sum,percentile_lag_precipitation_weekly_sum,change_precipitation_above75,change_humidity,percentile_humidity_weekly_mean,percentile_lag_humidity_weekly_mean,change_humidity_above75,interaction_temperature_precipitation,interaction_temperature_humidity,interaction_precipitation_humidity,interaction_temperature_precipitation_humidity,interaction_temperature_precipitation_above75,interaction_temperature_humidity_above75,interaction_precipitation_humidity_above75,interaction_temperature_precipitation_humidity_above75,extreme_weather_temperature,extreme_weather_precipitation,extreme_weather_humidity,season_summer,season_autumn,season_winter,season_spring,temperature_category_quantile_01,temperature_category_quantile_02,temperature_category_quantile_03,temperature_category_quantile_04,precipitation_occurrence
2022-48,Salvador,16,11937,13.403702772891013,1,53.00000000000001,7.0,14.0,29.17142857142857,25.61428571428572,23.457142857142856,82.47142857142856,91.0,2.4,24.2,44.6,25.542857142857144,25.97142857142857,24.74285714285714,25.285714285714285,84.38571428571429,77.48571428571428,82.7,82.35714285714286,0,0.4210526315789473,0.4114832535885167,0,0,0.7655502392344498,0.8803827751196173,0,0,0.7966507177033493,0.9186602870813396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2022-49,Salvador,21,11937,17.592359889419452,1,61.4,6.0,17.0,30.15714285714285,25.385714285714283,23.3,83.78571428571429,53.00000000000001,91.0,2.4,24.2,25.61428571428572,25.542857142857144,25.97142857142857,24.74285714285714,82.47142857142856,84.38571428571429,77.48571428571428,82.7,0,0.3636363636363636,0.4210526315789473,0,0,0.7942583732057417,0.7655502392344498,0,0,0.8995215311004785,0.7966507177033493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2022-50,Salvador,24,11937,20.105554159336517,8,11.6,4.0,6.0,30.357142857142858,26.228571428571428,23.342857142857145,79.91428571428571,61.4,53.00000000000001,91.0,2.4,25.385714285714283,25.61428571428572,25.542857142857144,25.97142857142857,83.78571428571429,82.47142857142856,84.38571428571429,77.48571428571428,0,0.5574162679425837,0.3636363636363636,0,0,0.3444976076555024,0.7942583732057417,0,0,0.6052631578947368,0.8995215311004785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2022-51,Salvador,31,11937,25.96967412247633,2,0.0,0.0,0.0,31.17142857142857,26.81428571428572,24.428571428571427,77.15714285714286,11.6,61.4,53.00000000000001,91.0,26.228571428571428,25.385714285714283,25.61428571428572,25.542857142857144,79.91428571428571,83.78571428571429,82.47142857142856,84.38571428571429,0,0.7440191387559809,0.5574162679425837,0,0,0.0334928229665071,0.3444976076555024,0,0,0.34688995215311,0.6052631578947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2022-52,Salvador,22,11937,18.43009131272514,3,43.8,2.0,2.0,30.885714285714283,26.67142857142857,23.914285714285715,77.92857142857143,0.0,11.6,61.4,53.00000000000001,26.81428571428572,26.228571428571428,25.385714285714283,25.61428571428572,77.15714285714286,79.91428571428571,83.78571428571429,82.47142857142856,0,0.6985645933014354,0.7440191387559809,0,0,0.6842105263157895,0.0334928229665071,0,0,0.4210526315789473,0.34688995215311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2023-01,Salvador,47,12106,38.82372377333554,8,15.4,4.0,3.0,30.87142857142857,26.82857142857143,23.785714285714285,76.62857142857142,43.8,0.0,11.6,61.4,26.67142857142857,26.81428571428572,26.228571428571428,25.385714285714283,77.92857142857143,77.15714285714286,79.91428571428571,83.78571428571429,1,0.7511961722488039,0.6985645933014354,1,0,0.4066985645933014,0.6842105263157895,0,0,0.2990430622009569,0.4210526315789473,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2023-02,Salvador,50,12106,41.301833801420784,6,80.8,7.0,9.0,30.12857142857143,26.071428571428573,23.5,82.98571428571428,15.4,43.8,0.0,11.6,26.82857142857143,26.67142857142857,26.81428571428572,26.228571428571428,76.62857142857142,77.92857142857143,77.15714285714286,79.91428571428571,0,0.5167464114832536,0.7511961722488039,0,0,0.8660287081339713,0.4066985645933014,1,1,0.84688995215311,0.2990430622009569,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
2023-03,Salvador,45,12106,37.17165042127871,2,3.8,2.0,1.0,31.0,27.042857142857144,24.31428571428572,76.39999999999999,80.8,15.4,43.8,0.0,26.071428571428573,26.82857142857143,26.67142857142857,26.81428571428572,82.98571428571428,76.62857142857142,77.92857142857143,77.15714285714286,1,0.7990430622009569,0.5167464114832536,1,0,0.1937799043062201,0.8660287081339713,0,0,0.2822966507177033,0.84688995215311,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
2023-04,Salvador,38,12106,31.3893936890798,6,25.0,6.0,6.0,30.585714285714285,26.542857142857144,23.7,79.62857142857142,3.8,80.8,15.4,43.8,27.042857142857144,26.071428571428573,26.82857142857143,26.67142857142857,76.39999999999999,82.98571428571428,76.62857142857142,77.92857142857143,0,0.631578947368421,0.7990430622009569,0,0,0.507177033492823,0.1937799043062201,0,0,0.5741626794258373,0.2822966507177033,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
2023-05,Salvador,49,12106,40.47579712539237,8,0.0,0.0,0.0,31.514285714285712,27.4,24.571428571428573,75.71428571428571,25.0,3.8,80.8,15.4,26.542857142857144,27.042857142857144,26.071428571428573,26.82857142857143,79.62857142857142,76.39999999999999,82.98571428571428,76.62857142857142,0,0.8851674641148325,0.631578947368421,1,0,0.0334928229665071,0.507177033492823,0,0,0.2320574162679425,0.5741626794258373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
